student_id,query_index,total_queries,is_first_query,time_since_session_start_s,time_since_last_query_s,pre_duration_s,pre_code_edits,pre_code_edit_rate,pre_chars_inserted,pre_chars_deleted,pre_code_deletes,pre_net_code_growth,pre_delete_type_ratio,pre_terminal_runs,pre_terminal_errors,pre_max_consecutive_errors,pre_mean_time_between_runs_s,pre_error_self_fix,pre_error_ai_fix,pre_error_reading_time_s,pre_error_to_edit_s,pre_failed_test_count,pre_failed_test_self_fix,pre_failed_test_ai_fix,pre_failed_test_to_edit_s,pre_longest_idle_s,thinking_time_s,pre_tab_switches,pre_tab_hidden_time_s,pre_response_reading_time_s,pre_chat_to_code_latency_s,pre_time_in_editor_s,pre_time_in_terminal_s,pre_time_in_chat_s,pre_time_in_task_s,pre_time_in_tests_s,implementing_time_s,debugging_time_s,testing_time_s,seeking_help_time_s,thinking_task_s,thinking_llm_s,thinking_error_s,thinking_code_s,query_length_chars,ai_response_length_chars,test_passed_at_query,test_total_at_query,task_completed,final_test_passed,final_test_total,session_duration_s,label_post_query_improvement
11500,4,4,0,259.2,52.77,50.38,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0,0,0.0,0.0,1,0,0,0.0,27.84,46.41,0,0.0,19.98,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,2.22,0.0,48.16,0.0,0.0,11,615,3,4,1,4,4,564.29,1
11501,1,3,1,139.36,0.0,139.36,27,0.1937,25,2,2,23,0.0741,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,19.19,90.62,2,11.71,0.0,0.0,29.11,0.0,31.47,55.55,0.0,29.11,0.0,0.0,31.47,55.55,0.0,0.0,23.23,52,267,0,0,1,4,4,638.46,
11501,2,3,0,168.41,29.05,27.4,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,11.14,14.9,0,0.0,27.4,0.0,0.0,0.0,15.71,0.0,0.0,0.0,0.0,0.0,15.71,0.0,11.69,0.0,0.0,50,235,0,0,1,4,4,638.46,0
11501,3,3,0,537.04,368.63,366.97,201,0.5477,110,69,69,54,0.3433,14,2,1,26.37,2,0,11.74,11.74,7,5,0,12.27,20.62,171.82,10,50.75,14.92,23.48,0.0,203.9,7.38,0.0,7.56,0.0,196.34,7.56,7.38,0.0,23.48,132.22,0.0,42,220,3,4,1,4,4,638.46,1
11502,1,2,1,228.2,0.0,228.2,78,0.3418,47,30,30,17,0.3846,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,129.28,175.11,0,0.0,0.0,0.0,37.78,0.0,5.79,152.76,0.0,37.78,0.0,0.0,5.79,152.76,0.0,0.0,31.87,37,232,0,0,0,0,0,1048.69,
11502,2,2,0,378.21,150.02,148.15,92,0.621,72,16,16,57,0.1739,56,8,1,1.35,3,0,7.48,14.73,0,0,0,0.0,23.03,99.77,0,0.0,17.9,17.9,40.81,26.07,2.6,0.0,8.26,40.81,17.81,8.26,2.6,0.0,17.9,36.56,24.22,10,0,0,0,0,0,0,1048.69,0
11505,1,17,1,139.29,0.0,139.29,35,0.2513,33,2,2,31,0.0571,1,0,0,0.0,0,0,0.0,0.0,1,1,0,17.57,38.97,107.52,0,0.0,0.0,0.0,31.02,5.71,5.86,79.1,0.0,31.02,5.71,0.0,5.86,79.1,0.0,0.0,17.6,44,183,2,4,1,4,4,995.68,
11505,2,17,0,180.84,41.55,38.89,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,37.86,37.86,0,0.0,38.89,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.36,0.0,38.53,0.0,0.0,3,281,2,4,1,4,4,995.68,0
11505,3,17,0,237.55,56.71,55.16,21,0.3807,11,10,10,1,0.4762,2,0,0,4.92,0,0,0.0,0.0,2,2,0,2.02,18.19,35.16,0,0.0,16.97,16.97,0.0,15.96,2.73,0.0,4.08,0.0,11.88,4.08,2.73,0.0,16.97,19.5,0.0,21,242,2,4,1,4,4,995.68,0
11505,4,17,0,323.45,85.91,83.92,16,0.1907,15,1,1,14,0.0625,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,34.72,69.21,0,0.0,28.27,28.27,0.0,13.42,3.25,0.0,0.0,0.0,13.42,0.0,3.25,0.0,27.4,39.85,0.0,27,287,2,4,1,4,4,995.68,0
11505,5,17,0,336.89,13.44,11.65,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,7.15,10.65,0,0.0,11.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.65,0.0,0.0,11,305,2,4,1,4,4,995.68,0
11505,6,17,0,371.35,34.46,32.59,6,0.1841,6,0,0,6,0.0,1,0,0,0.0,0,0,0.0,0.0,1,0,0,0.0,13.49,22.24,0,0.0,23.04,23.04,0.0,7.78,1.77,0.0,0.0,0.0,7.78,0.0,1.77,0.0,23.04,0.0,0.0,12,354,3,4,1,4,4,995.68,1
11505,7,17,0,402.98,31.63,29.92,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,13.1,13.1,0,0.0,29.92,0.0,0.0,0.0,14.75,0.0,0.0,0.0,0.0,0.0,14.75,0.0,15.17,0.0,0.0,77,408,3,4,1,4,4,995.68,0
11505,8,17,0,422.52,19.54,15.98,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,13.41,13.41,0,0.0,15.98,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,2.21,0.0,13.78,0.0,0.0,22,436,3,4,1,4,4,995.68,0
11505,9,17,0,459.32,36.8,33.12,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,27.79,27.79,0,0.0,33.12,0.0,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,4.61,0.0,28.51,0.0,0.0,22,271,3,4,1,4,4,995.68,0
11505,10,17,0,519.59,60.27,58.37,74,1.2679,55,18,18,37,0.2432,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,11.38,28.48,4,12.5,7.01,7.01,0.0,28.77,1.4,0.0,0.0,0.0,28.77,0.0,1.4,0.0,7.0,21.19,0.0,15,322,3,4,1,4,4,995.68,0
11505,11,17,0,553.9,34.31,32.15,1,0.0311,1,0,0,1,0.0,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,10.52,26.01,2,10.52,6.01,6.01,0.0,1.41,1.5,0.0,0.0,0.0,1.41,0.0,1.5,0.0,6.01,23.23,0.0,16,299,3,4,1,4,4,995.68,0
11505,12,17,0,601.23,47.33,44.67,25,0.5597,17,8,8,9,0.32,5,0,0,0.01,0,0,0.0,0.0,1,0,0,0.0,10.15,16.77,0,0.0,11.39,11.39,0.0,15.32,17.96,0.0,0.0,0.0,15.32,0.0,17.96,0.0,11.39,0.0,0.0,17,373,3,4,1,4,4,995.68,0
11505,13,17,0,779.81,178.58,175.93,1,0.0057,0,1,1,-1,1.0,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,101.27,171.57,2,18.35,7.17,7.17,0.0,1.47,2.21,0.0,0.0,0.0,1.47,0.0,2.21,0.0,7.17,165.07,0.0,20,272,3,4,1,4,4,995.68,0
11505,14,17,0,799.63,19.82,17.99,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,8.87,8.87,0,0.0,17.99,0.0,0.0,0.0,8.78,0.0,0.0,0.0,0.0,0.0,8.78,0.0,9.21,0.0,0.0,40,336,3,4,1,4,4,995.68,0
11505,15,17,0,817.6,17.97,16.09,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,14.63,14.63,0,0.0,16.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.09,0.0,0.0,11,372,3,4,1,4,4,995.68,0
11505,16,17,0,878.67,61.07,58.78,33,0.5614,25,6,6,19,0.1818,14,1,1,1.43,1,0,13.13,13.13,0,0,0,0.0,19.2,33.47,4,28.41,23.82,23.82,0.0,13.26,2.15,0.0,0.0,0.0,13.26,0.0,2.15,0.0,23.82,19.55,0.0,18,374,4,4,1,4,4,995.68,1
11505,17,17,0,901.7,23.03,20.62,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1.12,0.0,0,0.0,20.62,0.0,0.0,0.0,18.56,0.0,0.0,0.0,0.0,0.0,18.56,0.0,2.06,0.0,0.0,96,459,4,4,1,4,4,995.68,0
11507,1,9,1,314.55,0.0,314.55,139,0.4419,110,27,27,83,0.1942,7,7,1,22.29,7,0,13.17,14.83,0,0,0,0.0,31.16,216.33,8,70.98,0.0,0.0,27.91,103.72,0.22,50.95,0.0,27.91,103.72,0.0,0.22,50.95,0.0,124.99,6.76,258,306,0,0,1,4,4,855.39,
11507,2,9,0,367.6,53.04,51.28,46,0.8969,9,36,36,-27,0.7826,1,0,0,0.0,0,0,0.0,0.0,1,0,0,0.0,12.34,25.55,0,0.0,12.95,12.95,0.0,16.38,5.4,0.0,0.0,0.0,16.38,0.0,5.4,0.0,13.94,15.56,0.0,40,180,2,4,1,4,4,855.39,1
11507,3,9,0,374.82,7.23,5.79,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,2.81,0.0,0,0.0,5.79,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,1.48,0.0,4.31,0.0,0.0,3,233,2,4,1,4,4,855.39,0
11507,4,9,0,384.96,10.14,9.08,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,6.8,6.8,0,0.0,9.08,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,8.68,0.0,0.0,3,578,2,4,1,4,4,855.39,0
11507,5,9,0,481.73,96.76,93.65,58,0.6193,47,10,10,37,0.1724,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,23.06,64.63,2,23.06,13.73,13.73,0.0,27.15,0.31,0.0,0.0,0.0,27.15,0.0,0.31,0.0,13.73,52.45,0.0,3,354,2,4,1,4,4,855.39,0
11507,6,9,0,495.48,13.75,11.34,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,7.51,10.67,0,0.0,11.34,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.32,0.0,11.02,0.0,0.0,3,436,2,4,1,4,4,855.39,0
11507,7,9,0,515.02,19.54,15.32,2,0.1306,0,1,1,-1,0.5,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,9.12,9.12,0,0.0,9.12,9.12,0.0,5.47,0.26,0.0,0.0,0.0,5.47,0.0,0.26,0.0,9.59,0.0,0.0,2,763,2,4,1,4,4,855.39,0
11507,8,9,0,591.98,76.97,72.35,31,0.4285,18,10,10,8,0.3226,5,5,1,7.39,4,0,4.72,5.54,0,0,0,0.0,21.23,42.49,0,0.0,23.94,23.94,0.0,15.62,0.29,0.0,1.6,0.0,14.02,1.6,0.29,0.0,23.94,32.5,0.0,2,716,2,4,1,4,4,855.39,0
11507,9,9,0,693.4,101.42,98.26,102,1.038,86,13,13,73,0.1275,3,2,1,32.57,1,0,18.08,18.08,1,1,0,8.66,11.65,49.92,0,0.0,12.96,12.96,0.0,42.230000000000004,3.71,0.0,2.85,0.0,39.38,2.85,3.71,0.0,13.38,38.94,0.0,14,470,3,4,1,4,4,855.39,1
11509,1,5,1,263.5,0.0,263.5,132,0.501,80,52,52,28,0.3939,6,6,1,28.03,6,0,12.21,18.54,0,0,0,0.0,25.23,201.11,0,0.0,0.0,0.0,0.0,75.96,3.54,75.12,11.1,0.0,64.86,11.1,3.54,75.12,0.0,108.89,0.0,36,181,0,0,1,4,4,849.97,
11509,2,5,0,287.91,24.41,23.36,12,0.5138,6,6,6,0,0.5,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,11.93,17.48,0,0.0,12.05,12.05,0.0,3.7,0.52,0.0,0.0,0.0,3.7,0.0,0.52,0.0,12.05,7.09,0.0,3,185,0,0,1,4,4,849.97,0
11509,3,5,0,356.23,68.33,66.87,3,0.0449,3,0,0,3,0.0,1,0,0,0.0,0,0,0.0,0.0,1,1,0,6.67,17.11,54.14,2,17.11,33.59,33.59,0.0,22.0,4.59,0.0,0.0,0.0,22.0,0.0,4.59,0.0,33.59,6.68,0.0,36,249,2,4,1,4,4,849.97,1
11509,4,5,0,602.96,246.72,244.3,93,0.3807,57,36,36,21,0.3871,4,4,1,38.28,3,0,11.35,11.35,0,0,0,0.0,35.22,198.45,10,111.21,8.01,8.01,0.0,48.88,3.17,0.0,0.0,0.0,48.88,0.0,3.17,0.0,8.01,184.24,0.0,21,279,2,4,1,4,4,849.97,0
11509,5,5,0,685.49,82.54,80.91,78,0.964,55,22,22,33,0.2821,9,1,1,6.82,1,0,6.99,6.99,4,3,0,3.03,10.05,43.86,0,0.0,5.24,5.24,0.0,42.47,4.64,0.0,7.62,0.0,34.85,7.62,4.64,0.0,5.62,28.18,0.0,28,216,3,4,1,4,4,849.97,1
